epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9961,0.79526,2.60765,0.94689,1,0.09916,0.50382,0.40618,0.67728,3.14128,0.87867,0.000407197,0.000407197,0.000407197
2,35.8778,0.78326,1.47052,0.94731,0.80197,0.40632,0.65674,0.49494,0.76517,2.41564,0.93696,0.000796676,0.000796676,0.000796676
3,51.9949,0.78281,1.26933,0.955,0.65461,0.70585,0.68448,0.52392,0.78725,1.43615,0.94151,0.00115866,0.00115866,0.00115866
4,68.4117,0.78905,1.20029,0.9526,0.82883,0.80165,0.83635,0.64806,0.7371,1.0122,0.92366,0.00112625,0.00112625,0.00112625
5,85.2067,0.78216,1.08818,0.9605,0.74037,0.84936,0.82471,0.64196,0.73828,0.93071,0.96269,0.001085,0.001085,0.001085
6,102.284,0.76451,1.01904,0.96171,0.86495,0.78628,0.84006,0.66671,0.67286,0.6955,0.92147,0.00104375,0.00104375,0.00104375
7,118.471,0.73903,0.87727,0.93977,0.86409,0.57387,0.78376,0.60605,0.70431,1.61409,0.91842,0.0010025,0.0010025,0.0010025
8,134.942,0.71391,0.82121,0.93384,0.94593,0.86561,0.91972,0.73238,0.65041,0.55658,0.89758,0.00096125,0.00096125,0.00096125
9,151.854,0.68011,0.77571,0.91876,0.90287,0.85912,0.88817,0.69911,0.69834,0.58227,0.92535,0.00092,0.00092,0.00092
10,167.438,0.70948,0.74834,0.92401,0.89647,0.85676,0.89024,0.72393,0.61279,0.5511,0.88772,0.00087875,0.00087875,0.00087875
11,183.52,0.67999,0.69176,0.91058,0.9173,0.83984,0.89019,0.71982,0.68661,0.52362,0.90313,0.0008375,0.0008375,0.0008375
12,199.873,0.65483,0.65973,0.91096,0.96422,0.87702,0.92776,0.74809,0.59254,0.45996,0.88036,0.00079625,0.00079625,0.00079625
13,216.235,0.63053,0.61349,0.90182,0.90498,0.91154,0.92011,0.74835,0.59756,0.47172,0.87613,0.000755,0.000755,0.000755
14,231.921,0.61735,0.58791,0.89319,0.95488,0.89302,0.92552,0.76777,0.59596,0.42914,0.88182,0.00071375,0.00071375,0.00071375
15,247.811,0.61534,0.5687,0.90335,0.97576,0.89185,0.93626,0.7576,0.60655,0.44292,0.88292,0.0006725,0.0006725,0.0006725
16,264.604,0.62625,0.55171,0.89031,0.98331,0.92126,0.94777,0.77739,0.55593,0.41157,0.86965,0.00063125,0.00063125,0.00063125
17,279.936,0.60268,0.51329,0.88329,0.96338,0.89073,0.93076,0.76947,0.59196,0.40604,0.8762,0.00059,0.00059,0.00059
18,296.002,0.60188,0.51485,0.88645,0.97348,0.85508,0.92571,0.78573,0.55806,0.40106,0.87242,0.00054875,0.00054875,0.00054875
19,311.394,0.6069,0.50579,0.88771,0.96637,0.89967,0.93722,0.79373,0.57757,0.39265,0.87798,0.0005075,0.0005075,0.0005075
20,328.052,0.59327,0.46893,0.87868,0.98192,0.8826,0.92398,0.77397,0.57622,0.38763,0.86699,0.00046625,0.00046625,0.00046625
21,346.631,0.58423,0.4984,0.85799,0.9742,0.8867,0.91955,0.75952,0.57651,0.40479,0.88096,0.000425,0.000425,0.000425
22,362.06,0.55912,0.46306,0.8536,0.96079,0.90465,0.93316,0.78874,0.55122,0.37817,0.86766,0.00038375,0.00038375,0.00038375
23,378.618,0.55047,0.43464,0.85205,0.98695,0.91618,0.94139,0.7876,0.56169,0.36653,0.87161,0.0003425,0.0003425,0.0003425
24,393.716,0.54242,0.41954,0.85124,0.9841,0.91564,0.94194,0.79578,0.54631,0.35356,0.86972,0.00030125,0.00030125,0.00030125
25,409.214,0.52911,0.41154,0.83883,0.98188,0.92295,0.94455,0.79977,0.55171,0.34769,0.86301,0.00026,0.00026,0.00026
26,425.176,0.51987,0.40296,0.83955,0.98273,0.90168,0.93647,0.7803,0.56021,0.3502,0.87491,0.00021875,0.00021875,0.00021875
27,441.493,0.52046,0.38654,0.83277,0.98486,0.9171,0.9416,0.78437,0.56005,0.34362,0.87025,0.0001775,0.0001775,0.0001775
28,456.742,0.5087,0.38126,0.83487,0.97799,0.90559,0.94181,0.80229,0.53669,0.33513,0.85972,0.00013625,0.00013625,0.00013625
29,471.984,0.50148,0.37107,0.82427,0.98404,0.91084,0.94198,0.8085,0.53221,0.32834,0.8584,9.5e-05,9.5e-05,9.5e-05
30,487.532,0.49674,0.36126,0.83596,0.97567,0.91736,0.94381,0.80955,0.51795,0.32043,0.85639,5.375e-05,5.375e-05,5.375e-05
